Company_ID,Company_Name,Company_Profit,Address,Profitability_Category,Region
1.0,Tech  Enterprises  1,80701.0,"EDSA, Barangay 606, Pasig, Philippines",Medium, Barangay 606
2.0,Global  Partners  2,80511.0,"Commonwealth Ave, Barangay 789, Taguig, Philippines",Medium, Barangay 789
3.0,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",High, Barangay 505
4.0,Prime Network 4,75301.5,"Alabang-Zapote Rd, Barangay 202, Taguig, Philippines",Medium, Barangay 202
5.0,Elite  Ventures  5,69427.0,"Ayala Avenue, Barangay 101, Makati, Philippines",Medium, Barangay 101
Unknown,Elite Network 6,36967.0,"Katipunan Ave, Barangay 707, Davao City, Philippines",Low, Barangay 707
7.0,Dynamic Solutions 7,36661.0,"Commonwealth Ave, Barangay 303, Pasig, Philippines",Low, Barangay 303
Unknown,Green Enterprises 8,107952.0,"Roxas blvd, barangay 404, manila, philippines",High, barangay 404
9.0,Global Enterprises 9,96046.0,"Slex, barangay 123, pasig, philippines",Medium, barangay 123
10.0,Pioneer Network 10,65200.0,"Katipunan Ave, Barangay 101, Mandaluyong, Philippines",Medium, Barangay 101
11.0,Dynamic Ventures 11,97442.0,"Ortigas Ave, Barangay 202, Quezon City, Philippines",Medium, Barangay 202
12.0,Quantum Network 12,91671.0,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines",Medium, Barangay 123
13.0,Quantum  Enterprises  13,88168.0,"Taft Ave, Barangay 606, Makati, Philippines!",Medium, Barangay 606
Unknown,Quantum  Holdings  14,78322.0,"Roxas Blvd, Barangay 101, Parañaque, Philippines",Medium, Barangay 101
15.0,Innovative Enterprises 15,111984.0,"Roxas Blvd, Barangay 456, Taguig, Philippines",High, Barangay 456
16.0,Green  Corp  16,67696.0,"Shaw Blvd, Barangay 707, Taguig, Philippines!",Medium, Barangay 707
17.0,Dynamic Solutions 17,100246.0,"Ayala avenue, brgy. 404, baguio, philippines",High, brgy. 404
Unknown,Sky Network 18,68892.0,"Katipunan Ave, Barangay 707, Cebu City, Philippines",Medium, Barangay 707
19.0,Innovative Consulting 19,45583.0,"Ayala Avenue, Brgy. 101, Baguio, Philippines",Low, Brgy. 101
20.0,Pioneer Consulting 20,112720.0,"Ortigas ave, barangay 789, parañaque, philippines",High, barangay 789
21.0,Dynamic Enterprises 21,75301.5,"Ortigas Ave, Barangay 707, Davao City, Philippines",Medium, Barangay 707
22.0,Sky Ent.s 22,54853.0,"SLEX, Barangay 202, Pasig, Philippines",Medium, Barangay 202
23.0,Prime Corp 23,75301.5,"Slex, barangay 505, manila, philippines",Medium, barangay 505
24.0,Tech  Solutions  24,89757.0,"Alabang-Zapote Rd, Barangay 456, Mandaluyong, Philippines",Medium, Barangay 456
25.0,Green Holdings 25,36659.0,"Ortigas Ave, Barangay 606, Pasig, Philippines",Low, Barangay 606
26.0,Tech Associates 26,31238.0,"Taft ave, brgy. 456, manila, philippines",Low, brgy. 456
27.0,Elite Corp 27,45064.0,"SLEX, Brgy. 606, Pasig, Philippines",Low, Brgy. 606
Unknown,Global Holdings 28,61115.0,"Katipunan Ave, Brgy. 303, Taguig, Philippines",Medium, Brgy. 303
29.0,Sky  Industries  29,61952.0,"Edsa, brgy. 606, makati, philippines!",Medium, brgy. 606
30.0,Quantum Holdings 30,35620.0,"EDSA, Barangay 789, Pasig, Philippines",Low, Barangay 789
31.0,Sky Consulting 31,74258.0,"Ayala Avenue, Barangay 456, Mandaluyong, Philippines",Medium, Barangay 456
32.0,Prime  Consulting  32,34470.0,"Roxas blvd, barangay 505, quezon city, philippines",Low, barangay 505
33.0,Green  Consulting  33,52003.0,"Shaw blvd, barangay 707, mandaluyong, philippines!",Medium, barangay 707
34.0,Pioneer Corp 34,57571.0,"Ortigas ave, barangay 707, makati, philippines",Medium, barangay 707
35.0,Tech  Network  35,54668.0,"Roxas Blvd, Brgy. 123, Davao City, Philippines",Medium, Brgy. 123
Unknown,Pioneer Network 36,107259.0,"Taft Ave, Barangay 123, Pasig, Philippines",High, Barangay 123
37.0,Prime Holdings 37,62046.0,"Katipunan Ave, Barangay 456, Mandaluyong, Philippines",Medium, Barangay 456
38.0,Sky Network 38,100977.0,"Commonwealth Ave, Barangay 202, Makati, Philippines",High, Barangay 202
39.0,Prime  Consulting  39,107255.0,"Ortigas Ave, Barangay 606, Davao City, Philippines",High, Barangay 606
Unknown,Innovative Holdings 40,35397.0,"Slex, brgy. 202, manila, philippines",Low, brgy. 202
41.0,Sky Partners 41,75301.5,"Ayala Avenue, Barangay 404, Pasig, Philippines",Medium, Barangay 404
42.0,Sky  Holdings  42,52233.0,"Ayala Avenue, Brgy. 101, Baguio, Philippines",Medium, Brgy. 101
43.0,Quantum Network 43,113336.0,"Ortigas Ave, Barangay 404, Cebu City, Philippines",High, Barangay 404
44.0,Tech  Solutions  44,75301.5,"Ortigas ave, barangay 202, cebu city, philippines",Medium, barangay 202
45.0,Prime Industries 45,99726.0,"Roxas Blvd, Barangay 404, Mandaluyong, Philippines",Medium, Barangay 404
46.0,Dynamic Ventures 46,93219.0,"SLEX, Barangay 789, Pasig, Philippines!",Medium, Barangay 789
47.0,Green  Industries  47,31130.0,"Taft Ave, Barangay 707, Mandaluyong, Philippines",Low, Barangay 707
48.0,Global  Corp  48,75301.5,"Katipunan ave, barangay 101, cebu city, philippines",Medium, barangay 101
49.0,Tech Holdings 49,115517.0,"Edsa, barangay 303, quezon city, philippines",High, barangay 303
50.0,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",Low, Brgy. 303
51.0,Global  Holdings  51,30663.0,"Taft Ave, Barangay 456, Cebu City, Philippines",Low, Barangay 456
Unknown,Innovative  Industries  52,92408.0,"Roxas Blvd, Brgy. 303, Quezon City, Philippines",Medium, Brgy. 303
53.0,Global Partners 53,75301.5,"Taft Ave, Barangay 123, Manila, Philippines!",Medium, Barangay 123
54.0,Innovative Network 54,111271.0,"Ortigas Ave, Barangay 202, Quezon City, Philippines",High, Barangay 202
55.0,Innovative Holdings 55,49158.0,"Slex, barangay 404, taguig, philippines",Low, barangay 404
56.0,Pioneer  Ent.s  56,61087.0,"EDSA, Barangay 404, Taguig, Philippines",Medium, Barangay 404
57.0,Pioneer Corp 57,118114.0,"Katipunan ave, barangay 456, parañaque, philippines",High, barangay 456
58.0,Tech Ventures 58,83121.0,"Roxas Blvd, Brgy. 505, Pasig, Philippines",Medium, Brgy. 505
59.0,Elite  Associates  59,49874.0,"EDSA, Barangay 404, Davao City, Philippines",Low, Barangay 404
60.0,Global Ventures 60,113443.0,"Katipunan ave, barangay 101, parañaque, philippines",High, barangay 101
61.0,Global Solutions 61,70821.0,"Shaw Blvd, Barangay 505, Pasig, Philippines",Medium, Barangay 505
62.0,Quantum Solutions 62,90582.0,"Shaw Blvd, Barangay 707, Baguio, Philippines!",Medium, Barangay 707
63.0,Tech Corp 63,52787.0,"Alabang-zapote rd, barangay 606, pasig, philippines",Medium, barangay 606
64.0,Sky Consulting 64,94703.0,"Ortigas Ave, Barangay 202, Mandaluyong, Philippines",Medium, Barangay 202
65.0,Tech Associates 65,51705.0,"Ortigas ave, barangay 404, parañaque, philippines",Medium, barangay 404
66.0,Sky Ent.s 66,99381.0,"SLEX, Barangay 202, Parañaque, Philippines",Medium, Barangay 202
67.0,Quantum Associates 67,74653.0,"Shaw Blvd, Barangay 202, Manila, Philippines",Medium, Barangay 202
68.0,Innovative  Solutions  68,112018.0,"Katipunan ave, barangay 101, taguig, philippines",High, barangay 101
69.0,Global Solutions 69,116217.0,"Ayala Avenue, Barangay 505, Quezon City, Philippines",High, Barangay 505
70.0,Prime Network 70,62252.0,"Alabang-Zapote Rd, Barangay 456, Baguio, Philippines",Medium, Barangay 456
71.0,Prime Associates 71,103332.0,"EDSA, Brgy. 303, Parañaque, Philippines",High, Brgy. 303
72.0,Global Corp 72,102799.0,"EDSA, Barangay 303, Cebu City, Philippines",High, Barangay 303
73.0,Dynamic  Ventures  73,92185.0,"Alabang-Zapote Rd, Barangay 707, Cebu City, Philippines",Medium, Barangay 707
Unknown,Quantum Solutions 74,75301.5,"Commonwealth ave, barangay 404, davao city, philippines",Medium, barangay 404
75.0,Green Industries 75,71538.0,"Commonwealth ave, barangay 123, parañaque, philippines",Medium, barangay 123
76.0,Tech Ventures 76,75301.5,"Commonwealth Ave, Barangay 202, Cebu City, Philippines",Medium, Barangay 202
77.0,Prime Consulting 77,110398.0,"Alabang-Zapote Rd, Barangay 456, Manila, Philippines",High, Barangay 456
78.0,Innovative Partners 78,71232.0,"Roxas Blvd, Barangay 123, Pasig, Philippines",Medium, Barangay 123
79.0,Sky Ventures 79,83106.0,"Alabang-Zapote Rd, Barangay 505, Parañaque, Philippines",Medium, Barangay 505
80.0,Green  Partners  80,111227.0,"Commonwealth Ave, Barangay 202, Manila, Philippines",High, Barangay 202
81.0,Elite Enterprises 81,83079.0,"Katipunan Ave, Barangay 303, Taguig, Philippines",Medium, Barangay 303
82.0,Prime Industries 82,55028.0,"Commonwealth Ave, Barangay 707, Pasig, Philippines",Medium, Barangay 707
83.0,Tech  Enterprises  83,72135.0,"Ayala Avenue, Brgy. 707, Baguio, Philippines",Medium, Brgy. 707
84.0,Green  Solutions  84,75301.5,"SLEX, Barangay 456, Taguig, Philippines",Medium, Barangay 456
85.0,Green Ventures 85,113470.0,"EDSA, Barangay 707, Cebu City, Philippines",High, Barangay 707
86.0,Pioneer Solutions 86,50910.0,"Alabang-Zapote Rd, Barangay 789, Baguio, Philippines",Medium, Barangay 789
87.0,Tech  Ventures  87,37141.0,"Alabang-Zapote Rd, Barangay 505, Quezon City, Philippines",Low, Barangay 505
88.0,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines",Medium, Barangay 456
89.0,Global Solutions 89,75301.5,"Ayala avenue, barangay 101, taguig, philippines",Medium, barangay 101
90.0,Prime Holdings 90,46225.0,"EDSA, Barangay 202, Parañaque, Philippines",Low, Barangay 202
91.0,Tech Industries 91,117123.0,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines",High, Barangay 123
92.0,Innovative  Corp  92,62959.0,"Taft ave, barangay 202, baguio, philippines",Medium, barangay 202
93.0,Innovative Holdings 93,79192.0,"EDSA, Barangay 789, Davao City, Philippines",Medium, Barangay 789
94.0,Pioneer Associates 94,109711.0,"Commonwealth Ave, Brgy. 202, Cebu City, Philippines!",High, Brgy. 202
95.0,Green Network 95,40051.0,"Alabang-Zapote Rd, Barangay 789, Pasig, Philippines",Low, Barangay 789
96.0,Dynamic  Network  96,101428.0,"Alabang-Zapote Rd, Brgy. 456, Cebu City, Philippines",High, Brgy. 456
97.0,Quantum Holdings 97,33449.0,"EDSA, Barangay 789, Manila, Philippines",Low, Barangay 789
98.0,Pioneer Ventures 98,71095.0,"Roxas Blvd, Barangay 123, Taguig, Philippines",Medium, Barangay 123
Unknown,Elite Corp 99,107929.0,"Alabang-Zapote Rd, Barangay 303, Makati, Philippines",High, Barangay 303
100.0,Global Solutions 100,75301.5,"Ayala avenue, barangay 456, taguig, philippines",Medium, barangay 456
